;url;Population 0-14 ans;Population 15-29 ans;Population 30-44 ans;Population 45-59 ans;Population 60-74 ans;Population 75-89 ans;Population 90 ans et +;Sans diplôme;Brevet des collèges;CAP / BEP;Baccalauréat, brevet professionnel;Bac +2 à Bac +4;Bac +3 ou Bac +4;Bac +5 et plus;Couverture en très haut débit;Taux de chômage;Revenu médian;Taux de création d'entreprises;Prix médian au m2 d'un appartement;Evolution du prix médian au m2 d'un appartement;Prix médian au m2 d'une maison;Evolution du prix médian au m2 d'une maison;Cambriolages;Vols automobiles;Vols de particulier;Violences physiques;Violences sexuelles;Médecin;Dentiste;Infirmier;Pharmacie;Urgences;Crèche;Ecole maternelle;Ecole élementaire;Collège;Lycée;Hypermarché;Supermarché;Epicerie;Station service;Bureau de Poste;Hôtel;Restaurant;Boulangerie;Cinéma;Bibliothèque;Aeroport;Gare SNCF;Voisin 0;Voisin 1;Voisin 2;Voisin 3;Voisin 4;Voisin 5;Voisin 6;Voisin 7;Voisin 8;Voisin 9;Logements vacants;Résidences principales;Résidences secondaires;Propriétaires;Locataires;1 pièce;2 pièces;3 pièces;4 pièces;5 pièces et plus;Crimes et délits;Nom;Code postal;Evolution du nombre d'habitants;Habitants;Densité;Part de maisons;Part d'appartements
10;https://www.villesavivre.fr/aincourt-95008;17,9%;13,8%;17,5%;23,4%;21%;5,6%;0,9%;17,1%;5,7%;32,4%;16,8%;11%;10,8%;6,3%;82,53%;6,33%;26300;12,5%;2271;-13,32%;2297;-8,49%;569;1162;612;339;63;Vétheuil (5,1 km);Oinville-sur-Montcient (7,6 km);Drocourt (1,9 km);Vétheuil (5,4 km);Magny-en-Vexin (9,2 km);1;1;1;Limay (8 km);Limay (9,8 km);Limay (9,3 km);Magny-en-Vexin (8,1 km);Maudétour-en-Vexin (3,1 km);Charmont (7,1 km);Vétheuil (5,4 km);Seraincourt (8 km);1;Drocourt (2 km);Mantes-la-Jolie (10,4 km);Drocourt (1,8 km);49,2;Limay (10 km);Vienne-en-Arthies à 3,8 km;Maudétour-en-Vexin à 4,1 km;Wy-dit-Joli-Village à 4,5 km;Montalet-le-Bois à 4,9 km;Arthies à 3 km;Villers-en-Arthies à 3,5 km;Lainville-en-Vexin à 3,4 km;Sailly à 3,6 km;Drocourt à 2,3 km;Saint-Cyr-en-Arthies à 2,8 km;12,9%;81,4%;5,8%;Not found!;22,6%;4%;10,2%;9%;21,3%;55,6%;4303;Aincourt;95510;-6,02%;874;87;Not found!;26,2%
11;https://www.villesavivre.fr/gouzangrez-95282;16,9%;13,9%;16,3%;31,9%;16,3%;4,2%;0,6%;10,7%;2,5%;22,9%;22,1%;19,7%;14,8%;7,4%;100%;6,38%;28970;12,5%;Not found!;Not found!;Not found!;Not found!;569;1162;612;339;63;Vigny (3 km);Vigny (4,1 km);Avernes (3,1 km);Vigny (4,2 km);Magny-en-Vexin (10,1 km);Marines (6 km);1;Le Perchay (1,8 km);Vigny (3,1 km);Cergy (10,1 km);Osny (13 km);Chars (5,7 km);Santeuil (3,5 km);Marines (6,1 km);Vigny (4,2 km);Marines (6,3 km);Le Perchay (1,6 km);Commeny (1,9 km);Cergy (10,5 km);Le Perchay (1,8 km);40,8;Santeuil (3,1 km);Le Perchay à 1,4 km;Avernes à 4 km;Vigny à 4 km;Commeny à 2,1 km;Brignancourt à 3,8 km;Moussy à 2,4 km;Us à 3,7 km;Santeuil à 3,9 km;Guiry-en-Vexin à 3,8 km;Théméricourt à 2,5 km;2%;94,9%;3,1%;Not found!;11,5%;1,6%;0%;9,4%;20,3%;68,7%;4303;Gouzangrez;95450;-10,12%;151;196;Not found!;2,5%
12;https://www.villesavivre.fr/guitrancourt-78296;18,7%;13,7%;20,5%;26,8%;15,6%;4,2%;0,5%;19,2%;5,1%;25,2%;21%;15%;8,1%;6,4%;92,5%;5,49%;27220;12,3%;Not found!;Not found!;Not found!;Not found!;501;595;511;384;56;1;Issou (2,6 km);2;Issou (2,4 km);Aubergenville (7,5 km);Oinville-sur-Montcient (5,4 km);1;1;Issou (2,3 km);Limay (3,1 km);Limay (2,7 km);1;Fontenay-Saint-Père (2 km);Limay (3,1 km);Gargenville (3,2 km);Mantes-la-Jolie (5 km);Issou (2,2 km);Issou (2,3 km);Mantes-la-Jolie (5,4 km);Issou (2,8 km);48,2;Issou (3,2 km);Drocourt à 5 km;Brueil-en-Vexin à 3,2 km;Porcheville à 3,6 km;Juziers à 4,6 km;Issou à 2,4 km;Oinville-sur-Montcient à 5,3 km;Sailly à 4,1 km;Fontenay-Saint-Père à 2,9 km;Gargenville à 2,9 km;Limay à 3,2 km;6,5%;89,5%;4%;Not found!;13,6%;0%;1,6%;10,5%;26,3%;61,5%;4026;Guitrancourt;78440;3,12%;628;86;Not found!;10,2%
13;https://www.villesavivre.fr/prunay-en-yvelines-78506;19,3%;12,2%;17,5%;26,7%;18,8%;4,5%;1%;16,3%;5,1%;24,7%;17,2%;13,5%;10,2%;13%;89,46%;5,63%;29340;16,1%;Not found!;Not found!;2628;-7,63%;467;474;643;315;67;Ablis (2,5 km);Ablis (2,5 km);Ablis (2,5 km);Ablis (2,6 km);Rambouillet (14,1 km);Sonchamp (7,6 km);1;1;Auneau-Bleury-Saint-Symphorien (7,4 km);Rambouillet (12,8 km);Auneau-Bleury-Saint-Symphorien (8,3 km);Ablis (3,1 km);Auneau-Bleury-Saint-Symphorien (7,5 km);1;Ablis (2,6 km);Auneau-Bleury-Saint-Symphorien (3 km);1;Ablis (2,1 km);Saint-Arnoult-en-Yvelines (11 km);1;46,5;Roinville (9,2 km);Levainville à 5,7 km;Ponthévrard à 8 km;Orcemont à 7,9 km;Ablis à 3,4 km;Ymeray à 7,7 km;Orphin à 5,8 km;Écrosnes à 6,1 km;Orsonville à 5,6 km;Boinville-le-Gaillard à 5,9 km;Auneau-Bleury-Saint-Symphorien à 4,7 km;10%;87,2%;2,9%;Not found!;8,2%;0,3%;1,8%;6,8%;14,7%;76,5%;3925;Prunay-en-Yvelines;78660;-1,41%;841;31;Not found!;0,8%
14;https://www.villesavivre.fr/beynes-78062;19%;16,8%;19,7%;22,8%;15,9%;5,5%;0,3%;13,7%;4,3%;24,6%;18,8%;16,7%;10%;11,9%;97,01%;4,73%;29300;18,4%;2384;-7,63%;3765;-0,89%;392;662;688;329;55;5;9;5;2;Aubergenville (11,5 km);2;3;3;1;Villiers-Saint-Frédéric (4,5 km);Plaisir (7,3 km);1;3;1;1;Neauphle-le-Château (5,5 km);12;3;1;2;38,7;1;Marcq à 3,5 km;Mareil-sur-Mauldre à 3,9 km;Saulx-Marchais à 2,6 km;Thiverval-Grignon à 4,8 km;Neauphle-le-Vieux à 4,4 km;Villiers-Saint-Frédéric à 3,9 km;Montainville à 3,1 km;Auteuil à 4 km;Saint-Germain-de-la-Grange à 3,4 km;Vicq à 4,8 km;5,4%;93,5%;1,2%;Not found!;16,6%;3,3%;8%;13,2%;24,2%;51,2%;3860;Beynes;78650;0,63%;7 617;410;Not found!;27,3%
15;https://www.villesavivre.fr/le-perray-en-yvelines-78486;16,9%;17,2%;18,5%;22,5%;16,7%;7,7%;0,6%;14,6%;5,2%;24,2%;17,5%;15,2%;11,2%;12,2%;91,65%;5,32%;28760;13,9%;3466;-9,95%;3741;-3,08%;360;396;950;507;69;6;2;11;2;Rambouillet (5 km);Les Essarts-le-Roi (4,1 km);1;2;Les Essarts-le-Roi (4,9 km);Rambouillet (5,7 km);Rambouillet (5,5 km);1;1;1;1;Rambouillet (5,1 km);16;2;Rambouillet (5,9 km);1;38,1;1;Rambouillet à 4,9 km;Saint-Rémy-l'Honoré à 6,3 km;Poigny-la-Forêt à 6,7 km;Auffargis à 4,6 km;Les Essarts-le-Roi à 4,4 km;Les Mesnuls à 6,5 km;Saint-Léger-en-Yvelines à 7,2 km;Lévis-Saint-Nom à 7,6 km;Les Bréviaires à 3,4 km;Vieille-Église-en-Yvelines à 3,7 km;5,1%;93,8%;1,1%;Not found!;24,2%;6,5%;11,5%;11,8%;19%;51,2%;6036;Le Perray-en-Yvelines;78610;-3,44%;6 543;486;Not found!;26,5%
16;https://www.villesavivre.fr/boissy-mauvoisin-78082;17,9%;21,4%;16,8%;21,4%;17,1%;4,9%;0,5%;15,2%;4,5%;29,5%;18%;15%;8,4%;9,3%;97,61%;4,65%;25800;26,5%;Not found!;Not found!;Not found!;Not found!;501;595;511;384;56;Bréval (4,3 km);Bréval (4,3 km);Bréval (1,8 km);Bréval (4,3 km);Mantes-la-Jolie (7,8 km);Favrieux (3,9 km);1;1;Bréval (4,2 km);Magnanville (7,5 km);Buchelay (7,7 km);Bréval (4,9 km);Longnes (5 km);Rosny-sur-Seine (4,4 km);Bréval (4,2 km);Rolleboise (5,7 km);Perdreauville (1,7 km);Bréval (4,2 km);Mantes-la-Jolie (8,3 km);Bréval (3,7 km);55,5;Bréval (3,9 km);Le Tertre-Saint-Denis à 3,2 km;Saint-Illiers-la-Ville à 3 km;Longnes à 4,8 km;Perdreauville à 2,4 km;Fontenay-Mauvoisin à 4,9 km;Neauphlette à 4,5 km;Ménerville à 1,5 km;Bréval à 3,2 km;Jouy-Mauvoisin à 4,8 km;Rosny-sur-Seine à 3,9 km;4,8%;88,5%;6,7%;Not found!;19,7%;1,7%;5%;7,9%;23,8%;61,6%;4026;Boissy-Mauvoisin;78200;3,61%;632;124;Not found!;9,3%
17;https://www.villesavivre.fr/le-chesnay-rocquencourt-78158;16,9%;15,8%;17,7%;19,7%;17,9%;10,3%;1,7%;9,9%;4,4%;11,5%;15%;13,1%;16,2%;29,8%;96,75%;6,84%;32740;19,2%;5509;-0,11%;9758;+30,52%;566;726;1363;629;76;32;17;17;11;2;11;7;6;2;2;1;3;8;6;1;3;72;16;1;La Celle-Saint-Cloud (1,4 km);21,1;La Celle-Saint-Cloud (2 km);Versailles à 3 km;La Celle-Saint-Cloud à 2,2 km;Marnes-la-Coquette à 3,4 km;Marly-le-Roi à 4,5 km;Vaucresson à 3,3 km;Ville-d'Avray à 4,2 km;Saint-Cyr-l'École à 4,7 km;Bougival à 4 km;Louveciennes à 3,4 km;Bailly à 3 km;6,9%;90,2%;2,9%;Not found!;38,3%;14,4%;15,6%;26,3%;20%;23,7%;6187;Le Chesnay-Rocquencourt;78150;10,44%;30 924;4405;13,6%;Not found!
18;https://www.villesavivre.fr/breuil-bois-robert-78104;19,2%;14,4%;20,9%;21,5%;18,8%;5%;0,3%;20,8%;3,1%;24,2%;15,5%;14,4%;12,6%;9,2%;96,98%;7,28%;27900;22,7%;Not found!;Not found!;2525;+21,28%;501;595;511;384;56;Guerville (1,5 km);Guerville (1,5 km);Guerville (1,5 km);Guerville (1,5 km);Mantes-la-Jolie (6,7 km);Mantes-la-Ville (2,7 km);Auffreville-Brasseuil (1 km);1;Mantes-la-Ville (2,2 km);Mantes-la-Ville (2,2 km);Buchelay (4,7 km);Mantes-la-Ville (4 km);Vert (1,7 km);Mantes-la-Ville (2,7 km);Guerville (1,5 km);Magnanville (4 km);2;Guerville (1,5 km);Mantes-la-Jolie (5 km);1;52,6;Mantes-la-Jolie (4,6 km);Soindres à 3,3 km;Guerville à 2,1 km;Rosay à 4,3 km;Magnanville à 3,5 km;Villette à 2,4 km;Vert à 2,3 km;Boinville-en-Mantois à 3 km;Arnouville-lès-Mantes à 3,7 km;Auffreville-Brasseuil à 1,4 km;Mantes-la-Ville à 3,5 km;5%;91,4%;3,6%;Not found!;17,8%;1,8%;3,9%;11,5%;17,7%;65%;4026;Breuil-Bois-Robert;78930;4,66%;763;203;Not found!;9,2%
19;https://www.villesavivre.fr/le-mesnil-le-roi-78396;19,1%;15,9%;17,2%;23,3%;15,1%;7,9%;1,5%;13,1%;4,3%;17,4%;13,9%;11%;14,3%;26,1%;97,75%;5,46%;34820;20,3%;4500;+4,87%;6775;-9,35%;411;726;1416;742;53;3;1;6;2;Maisons-Laffitte (3,3 km);1;3;2;Montesson (2,4 km);Maisons-Laffitte (2,5 km);Montesson (1,7 km);2;1;1;1;Saint-Germain-en-Laye (1,3 km);6;3;Maisons-Laffitte (2,9 km);1;22,8;Maisons-Laffitte (2,7 km);Montesson à 1,7 km;Le Port-Marly à 5,2 km;Carrières-sur-Seine à 4,5 km;Le Pecq à 3,9 km;Sartrouville à 4,1 km;Saint-Germain-en-Laye à 2,2 km;Chatou à 4,1 km;Le Vésinet à 3,7 km;Houilles à 4,7 km;Maisons-Laffitte à 3,6 km;5,5%;93,1%;1,4%;Not found!;31,1%;1,2%;9%;18,1%;24,5%;47,2%;5857;Le Mesnil-le-Roi;78600;0,73%;6 322;1945;Not found!;46,5%
