;url;Population 0-14 ans;Population 15-29 ans;Population 30-44 ans;Population 45-59 ans;Population 60-74 ans;Population 75-89 ans;Population 90 ans et +;Sans diplôme;Brevet des collèges;CAP / BEP;Baccalauréat, brevet professionnel;Bac +2 à Bac +4;Bac +3 ou Bac +4;Bac +5 et plus;Couverture en très haut débit;Taux de chômage;Revenu médian;Taux de création d'entreprises;Prix médian au m2 d'un appartement;Evolution du prix médian au m2 d'un appartement;Prix médian au m2 d'une maison;Evolution du prix médian au m2 d'une maison;Cambriolages;Vols automobiles;Vols de particulier;Violences physiques;Violences sexuelles;Médecin;Dentiste;Infirmier;Pharmacie;Urgences;Crèche;Ecole maternelle;Ecole élementaire;Collège;Lycée;Hypermarché;Supermarché;Epicerie;Station service;Bureau de Poste;Hôtel;Restaurant;Boulangerie;Cinéma;Bibliothèque;Aeroport;Gare SNCF;Voisin 0;Voisin 1;Voisin 2;Voisin 3;Voisin 4;Voisin 5;Voisin 6;Voisin 7;Voisin 8;Voisin 9;Logements vacants;Résidences principales;Résidences secondaires;Propriétaires;Locataires;1 pièce;2 pièces;3 pièces;4 pièces;5 pièces et plus;Crimes et délits;Nom;Code postal;Evolution du nombre d'habitants;Habitants;Densité;Part de maisons;Part d'appartements
94;https://www.villesavivre.fr/hermeray-78307;15,8%;14,5%;15,3%;24,8%;21,8%;7%;0,8%;11,5%;2,8%;20,1%;19%;16,1%;12,4%;18%;96,79%;6,23%;30160;12,9%;Not found!;Not found!;3057;-1,07%;467;474;643;315;67;Épernon (4,9 km);Épernon (5 km);Poigny-la-Forêt (4,4 km);Épernon (5 km);Rambouillet (10,2 km);La Boissière-École (4,2 km);1;1;Épernon (4,8 km);Rambouillet (10,1 km);Rambouillet (10,7 km);Saint-Hilarion (4,3 km);1;Hanches (6,4 km);Épernon (5 km);Épernon (6,9 km);Mittainville (3,8 km);Épernon (5 km);Épernon (5,6 km);1;50;Épernon (5,4 km);Poigny-la-Forêt à 5,8 km;Épernon à 6,6 km;Droue-sur-Drouette à 5,9 km;Mittainville à 4 km;La Boissière-École à 4,3 km;Raizeux à 1,9 km;Gazeran à 6,9 km;Hanches à 6,9 km;Saint-Hilarion à 4,5 km;Saint-Lucien à 5,1 km;11,1%;76,6%;12,3%;Not found!;10,3%;1,3%;3,7%;7,5%;16,4%;71%;3925;Hermeray;78125;-1,88%;941;52;Not found!;2,8%
95;https://www.villesavivre.fr/marcq-78364;18,5%;14,7%;19,3%;27,7%;14,3%;4,9%;0,5%;12,2%;5,7%;20,3%;18,2%;17,9%;12,4%;13,3%;94,93%;6,3%;32200;13,8%;Not found!;Not found!;3489;-0,48%;501;595;511;384;56;Thoiry (1,9 km);Thoiry (2,2 km);1;Thoiry (2,4 km);Aubergenville (10,4 km);Thoiry (2,3 km);Andelu (1,7 km);1;Maule (5,1 km);Villiers-Saint-Frédéric (6,5 km);Plaisir (10,8 km);Thoiry (2 km);Beynes (3,7 km);Thoiry (1,9 km);Thoiry (2,3 km);Thoiry (2,2 km);1;Thoiry (2,2 km);Beynes (3,9 km);Andelu (1,7 km);42,3;Beynes (3,8 km);Montainville à 2,8 km;Andelu à 2,8 km;Saulx-Marchais à 2,2 km;Villiers-le-Mahieu à 3,8 km;Goupillières à 4,6 km;Beynes à 3,5 km;Mareil-sur-Mauldre à 4,7 km;Autouillet à 3 km;Auteuil à 2,7 km;Thoiry à 2,1 km;5,6%;89,4%;5%;Not found!;13,8%;2,4%;6,4%;7,3%;18,1%;65,8%;4026;Marcq;78770;2,77%;778;165;Not found!;9%
96;https://www.villesavivre.fr/mareil-marly-78367;20,2%;15,3%;14,2%;25,3%;15,5%;8,7%;0,8%;7,3%;3,1%;7,6%;13,5%;12,7%;17,6%;38,1%;96,88%;4,79%;38260;26,4%;4723;+5,38%;6141;-8,26%;503;658;1305;643;58;1;3;2;1;Saint-Germain-en-Laye (2,1 km);1;1;1;Saint-Germain-en-Laye (1,4 km);Saint-Germain-en-Laye (1,5 km);Saint-Germain-en-Laye (2,1 km);1;Le Pecq (1,4 km);Le Pecq (1,5 km);Saint-Germain-en-Laye (1,7 km);Saint-Germain-en-Laye (2 km);1;2;Marly-le-Roi (1,7 km);1;27;L'Étang-la-Ville (1,3 km);Marly-le-Roi à 2 km;L'Étang-la-Ville à 1,9 km;Saint-Nom-la-Bretèche à 4,7 km;Chambourcy à 3,7 km;Louveciennes à 3,6 km;Noisy-le-Roi à 4,1 km;Le Port-Marly à 2,4 km;Le Pecq à 2,5 km;Croissy-sur-Seine à 4,4 km;Le Vésinet à 4,2 km;7,5%;90,3%;2,2%;Not found!;14,6%;2,5%;4,8%;12,1%;16,2%;64,4%;6224;Mareil-Marly;78750;9,75%;3 826;2162;Not found!;29,1%
97;https://www.villesavivre.fr/bonneuil-en-france-95088;24,3%;19,6%;27,3%;15,1%;10,9%;2,6%;0,3%;25%;5,7%;24,2%;20,7%;12,4%;9,3%;2,8%;97,55%;12,52%;22710;25%;Not found!;Not found!;Not found!;Not found!;686;1369;923;1172;79;Garges-lès-Gonesse (1,6 km);Garges-lès-Gonesse (1,7 km);Le Blanc-Mesnil (1,6 km);Le Blanc-Mesnil (1,5 km);Gonesse (3,4 km);Gonesse (1,4 km);1;1;Garges-lès-Gonesse (1,5 km);Garges-lès-Gonesse (1,9 km);Garges-lès-Gonesse (1,8 km);Garges-lès-Gonesse (1,2 km);Dugny (1,4 km);Garges-lès-Gonesse (1,6 km);Garges-lès-Gonesse (1,8 km);Dugny (1,2 km);1;Dugny (1,4 km);Garges-lès-Gonesse (2,7 km);Dugny (1,7 km);1,8;Arnouville (3,4 km);Sarcelles à 4,8 km;Arnouville à 2,6 km;Dugny à 1,9 km;Gonesse à 2,8 km;Stains à 3,8 km;Drancy à 4,7 km;Garges-lès-Gonesse à 2,3 km;Le Bourget à 3,3 km;La Courneuve à 4,5 km;Le Blanc-Mesnil à 3,5 km;4,3%;93,5%;2,2%;Not found!;34,5%;5,3%;16,5%;27,9%;19,3%;30,9%;7394;Bonneuil-en-France;95500;12,66%;1 166;248;Not found!;42,9%
98;https://www.villesavivre.fr/garges-les-gonesse-95268;24,8%;21,5%;21,2%;18,1%;10,3%;3,8%;0,2%;40,2%;5,4%;19%;16,3%;8,2%;6,1%;4,8%;92,78%;11,53%;15460;24,3%;2308;-6,82%;3194;-7,5%;454;1237;1302;1371;69;25;10;34;12;Sarcelles (2,2 km);7;17;16;4;2;1;6;23;1;3;2;90;23;1;1;3,1;1;Gonesse à 4,3 km;Villiers-le-Bel à 4,2 km;Le Bourget à 4,2 km;Dugny à 2,6 km;La Courneuve à 4,3 km;Pierrefitte-sur-Seine à 3,2 km;Sarcelles à 2,8 km;Bonneuil-en-France à 2,3 km;Arnouville à 2 km;Stains à 2,1 km;4%;95,4%;0,7%;34,8%;Not found!;6,9%;15,4%;34,1%;28,8%;14,8%;8077;Garges-lès-Gonesse;95140;0,57%;42 841;7832;19,7%;Not found!
99;https://www.villesavivre.fr/pierrelaye-95488;22,5%;20,8%;21,3%;18,6%;11,7%;4,5%;0,6%;25,1%;4%;24,6%;18,6%;12%;8,4%;7,3%;93,61%;6,99%;22950;21,8%;3813;+3,95%;4181;+3,85%;478;1205;1020;942;87;4;Herblay-sur-Seine (2,7 km);5;2;Pontoise (7 km);2;3;3;1;Herblay-sur-Seine (2,4 km);Montigny-lès-Cormeilles (3,9 km);1;7;2;1;3;36;4;Montigny-lès-Cormeilles (3,4 km);1;21,4;1;Éragny à 4,3 km;Saint-Ouen-l'Aumône à 3,6 km;Herblay-sur-Seine à 2,2 km;Beauchamp à 2,3 km;Frépillon à 4,7 km;Méry-sur-Oise à 4,1 km;Taverny à 4,5 km;Montigny-lès-Cormeilles à 3,8 km;Conflans-Sainte-Honorine à 5 km;Bessancourt à 3,5 km;5,6%;94%;0,5%;Not found!;43,1%;5,4%;16,4%;22,2%;25,9%;30,1%;6459;Not found!;Not found!;22,4%;9 998;1086;Not found!;45,2%
100;https://www.villesavivre.fr/bougival-78092;21,5%;15,7%;21%;20,8%;13,4%;6,9%;0,7%;11,4%;3,9%;12,1%;15,9%;13%;15,6%;28,2%;96,95%;7,57%;31170;18,9%;4404;-3,82%;5949;-17,65%;566;726;1363;629;76;6;3;5;2;Le Port-Marly (2,8 km);4;4;4;1;Croissy-sur-Seine (1,3 km);Vaucresson (3,4 km);Louveciennes (1,1 km);5;2;1;1;30;2;La Celle-Saint-Cloud (1,7 km);1;22,4;Louveciennes (1,1 km);Croissy-sur-Seine à 1,7 km;Chatou à 3,8 km;Louveciennes à 1,8 km;Le Port-Marly à 2,8 km;Le Vésinet à 3,4 km;Le Chesnay-Rocquencourt à 4 km;Vaucresson à 2,9 km;Marly-le-Roi à 3,4 km;Rueil-Malmaison à 3 km;La Celle-Saint-Cloud à 1,9 km;9,1%;89,2%;1,7%;Not found!;35,2%;4,7%;12,3%;28,7%;24,2%;30%;6187;Bougival;78380;3,22%;9 031;3272;29,3%;Not found!
101;https://www.villesavivre.fr/les-clayes-sous-bois-78165;20,2%;17,5%;19,4%;20,9%;14,3%;7,1%;0,6%;19,4%;6,6%;22,7%;17%;13,2%;9,5%;11,7%;94,22%;7,77%;25560;24,9%;2917;-0,98%;4294;+2,12%;285;573;781;678;68;8;10;9;6;Trappes (4,5 km);2;6;6;2;Villepreux (1,4 km);Plaisir (2 km);4;8;2;1;Plaisir (1,7 km);60;12;1;2;29,5;1;Rennemoulin à 4,6 km;Montigny-le-Bretonneux à 5,5 km;Thiverval-Grignon à 4,7 km;Fontenay-le-Fleury à 4,6 km;Villepreux à 2,5 km;Bois-d'Arcy à 3 km;Trappes à 4,8 km;Plaisir à 2,8 km;Élancourt à 4,8 km;Chavenay à 3,3 km;3,8%;94,8%;1,3%;Not found!;33,2%;3,4%;8,9%;27%;27%;33,7%;5526;Les Clayes-sous-Bois;78340;-1,57%;17 237;2821;43,2%;Not found!
102;https://www.villesavivre.fr/franconville-95252;21,1%;18,9%;23,1%;18%;12,5%;5,7%;0,7%;19,8%;5,4%;23,6%;18,8%;13,2%;9,1%;10%;98,52%;9,34%;23460;29,5%;2901;-6,36%;4132;-8,54%;476;969;943;706;64;20;13;30;9;Ermont (3 km);7;12;11;4;2;2;4;5;2;2;Sannois (1,5 km);89;16;1;2;15,8;1;Le Plessis-Bouchard à 1,8 km;Montigny-lès-Cormeilles à 2,3 km;Taverny à 4,2 km;Eaubonne à 3,9 km;Beauchamp à 3,8 km;La Frette-sur-Seine à 3,7 km;Saint-Leu-la-Forêt à 3,9 km;Sannois à 2,8 km;Ermont à 2,4 km;Cormeilles-en-Parisis à 2,9 km;4%;94,9%;1,1%;Not found!;42,2%;5,5%;16,2%;33,8%;25,2%;19,3%;5203;Franconville;95130;3,9%;37 520;6061;23,4%;Not found!
103;https://www.villesavivre.fr/choisel-78162;18,6%;15,1%;15%;25,6%;17,8%;7,4%;0,5%;10,1%;2,1%;17,7%;17,2%;13,3%;13,1%;26,5%;94,3%;6,53%;34420;17,5%;Not found!;Not found!;3967;-15,67%;467;474;643;315;67;Cernay-la-Ville (3,1 km);Chevreuse (4,2 km);Cernay-la-Ville (3,1 km);Cernay-la-Ville (3 km);Trappes (11,7 km);Boullay-les-Troux (2,6 km);Boullay-les-Troux (2,6 km);Boullay-les-Troux (2,6 km);Chevreuse (3,8 km);Limours (6,4 km);Gif-sur-Yvette (7,2 km);Chevreuse (4,1 km);Cernay-la-Ville (3,1 km);Limours (5,2 km);Chevreuse (4,2 km);Cernay-la-Ville (3,2 km);1;Cernay-la-Ville (3,1 km);Gif-sur-Yvette (9,2 km);Boullay-les-Troux (2,8 km);26;Saint-Rémy-lès-Chevreuse (5,3 km);Dampierre-en-Yvelines à 4,5 km;Les Molières à 4,2 km;Boullay-les-Troux à 2,5 km;Cernay-la-Ville à 4 km;Saint-Rémy-lès-Chevreuse à 5,8 km;Chevreuse à 4 km;Pecqueuse à 3,2 km;Saint-Forget à 4,5 km;Limours à 5,7 km;Senlisse à 3,4 km;8,4%;85,8%;5,7%;Not found!;13,5%;0,9%;4,5%;12,1%;15,6%;67%;3925;Choisel;78460;-2,91%;534;61;Not found!;7,7%
104;https://www.villesavivre.fr/soindres-78597;20,9%;17,1%;19%;23,1%;15,8%;3,5%;0,6%;13,9%;2,5%;30%;18%;12,4%;11,8%;11,4%;98,71%;8,4%;27880;16,7%;Not found!;Not found!;Not found!;Not found!;501;595;511;384;56;Magnanville (2,7 km);Buchelay (3 km);Buchelay (3 km);Magnanville (3 km);Mantes-la-Jolie (4,9 km);Favrieux (2,1 km);1;1;Magnanville (2 km);Magnanville (1,6 km);Buchelay (3,2 km);Mantes-la-Ville (3,1 km);Vert (2 km);Buchelay (3,3 km);Magnanville (3 km);Magnanville (3,1 km);1;Vert (2 km);Mantes-la-Jolie (4,9 km);Magnanville (1,7 km);55,7;Mantes-la-Jolie (4,6 km);Jouy-Mauvoisin à 2,9 km;Auffreville-Brasseuil à 2,5 km;Flacourt à 3,2 km;Vert à 1,7 km;Villette à 3,4 km;Fontenay-Mauvoisin à 1,9 km;Favrieux à 2,4 km;Buchelay à 3,4 km;Breuil-Bois-Robert à 3,3 km;Magnanville à 2 km;5%;93,1%;1,9%;Not found!;13%;0,4%;2,5%;9,5%;19,8%;67,8%;4026;Soindres;78200;5,63%;713;137;Not found!;7,3%
105;https://www.villesavivre.fr/blaru-78068;18,2%;15,1%;18,1%;25,5%;17,1%;5,3%;0,7%;16,7%;5,3%;26,8%;20%;13,3%;8,8%;9,1%;95,23%;4,93%;26390;7,8%;Not found!;Not found!;2783;+3,38%;501;595;511;384;56;1;Vernon (5,4 km);Vernon (4,8 km);Vernon (4,5 km);Vernon (5,7 km);Vernon (4,4 km);1;1;Vernon (4 km);Vernon (2,9 km);Vernon (5,6 km);Vernon (5,6 km);Vernon (4,2 km);Chaufour-lès-Bonnières (2,4 km);Vernon (5,7 km);Chaufour-lès-Bonnières (2,3 km);Vernon (1,6 km);Chaufour-lès-Bonnières (2,4 km);Vernon (5,7 km);Notre-Dame-de-la-Mer (3,5 km);44,6;Vernon (5,6 km);Chaignes à 3,7 km;Chaufour-lès-Bonnières à 2,8 km;La Villeneuve-en-Chevrie à 4,5 km;Notre-Dame-de-la-Mer à 3,3 km;Villegats à 4,8 km;Limetz-Villez à 5,5 km;Douains à 3,6 km;Lommoye à 5,5 km;Vernon à 5,2 km;Aigleville à 5,6 km;5,8%;87,3%;7%;Not found!;9,8%;1,3%;2,1%;10,4%;20,2%;65,9%;4026;Blaru;78270;0,11%;889;60;Not found!;3,6%
106;https://www.villesavivre.fr/medan-78384;16,9%;15,2%;16,4%;26,5%;18,2%;5,8%;0,9%;12,6%;4,2%;15,9%;14%;13,9%;14,5%;24,9%;88,99%;6,54%;36430;15,2%;Not found!;Not found!;4087;-4,78%;505;712;815;748;76;1;1;Villennes-sur-Seine (1,5 km);Villennes-sur-Seine (1,4 km);Poissy (4,8 km);Vernouillet (1,6 km);1;1;Vernouillet (2,1 km);Verneuil-sur-Seine (3,2 km);Orgeval (3 km);Villennes-sur-Seine (1,9 km);Vernouillet (1,5 km);Vernouillet (2,4 km);Villennes-sur-Seine (2 km);Villennes-sur-Seine (2,1 km);2;1;Verneuil-sur-Seine (3,1 km);Villennes-sur-Seine (1,9 km);32,6;Villennes-sur-Seine (1,9 km);Orgeval à 4,4 km;Chapet à 3,9 km;Poissy à 4,5 km;Triel-sur-Seine à 3,1 km;Verneuil-sur-Seine à 4 km;Carrières-sous-Poissy à 3,2 km;Vernouillet à 1,5 km;Morainvilliers à 3,9 km;Chanteloup-les-Vignes à 4,1 km;Villennes-sur-Seine à 2,1 km;5,6%;82%;12,4%;Not found!;14,3%;2,5%;5,6%;11,2%;12,6%;68%;5197;Médan;78670;-4,55%;1 322;464;Not found!;7,4%
107;https://www.villesavivre.fr/la-celle-les-bordes-78125;15,7%;13,7%;16,6%;25,8%;23%;4,9%;0,2%;7%;3,5%;16,1%;16,9%;16,6%;14,4%;25,4%;94,44%;6,52%;35070;25,9%;Not found!;Not found!;3175;-10,79%;467;474;643;315;67;Clairefontaine-en-Yvelines (3,9 km);Bonnelles (6,6 km);Cernay-la-Ville (4 km);Cernay-la-Ville (4,1 km);Rambouillet (8,8 km);Clairefontaine-en-Yvelines (4,2 km);1;1;Bonnelles (6,6 km);Rambouillet (8,3 km);Rambouillet (6,6 km);Saint-Arnoult-en-Yvelines (6,7 km);Cernay-la-Ville (4 km);Rambouillet (6,6 km);Saint-Arnoult-en-Yvelines (7,8 km);Cernay-la-Ville (4 km);2;1;Saint-Arnoult-en-Yvelines (7,8 km);1;31,9;Rambouillet (8,4 km);Vieille-Église-en-Yvelines à 6,1 km;Rochefort-en-Yvelines à 6,1 km;Auffargis à 5,6 km;Clairefontaine-en-Yvelines à 4,1 km;Choisel à 6,3 km;Cernay-la-Ville à 3,3 km;Pecqueuse à 6,7 km;Bonnelles à 6,7 km;Senlisse à 5,2 km;Bullion à 3,4 km;7,4%;87,7%;5%;Not found!;7,7%;0,9%;2,5%;7,9%;15%;73,6%;3925;La Celle-les-Bordes;78720;-0,72%;825;37;Not found!;1,9%
108;https://www.villesavivre.fr/richebourg-78520;18,1%;15%;17,8%;27,3%;17,5%;3,9%;0,4%;28,1%;4,3%;22,4%;13,3%;13,3%;8,4%;10,2%;95,55%;4,47%;29980;16%;Not found!;Not found!;3058;+3,91%;501;595;511;384;56;Maulette (3,8 km);Houdan (4,5 km);Orvilliers (3,9 km);Houdan (4,5 km);Mantes-la-Jolie (19,5 km);1;1;1;Houdan (4,3 km);La Queue-les-Yvelines (11,2 km);Maulette (3,8 km);Maulette (4,7 km);Bazainville (3,5 km);Maulette (3,6 km);Houdan (4,3 km);Houdan (4,1 km);2;1;Anet (14,8 km);1;54,4;Tacoignières (2,6 km);Orgerus à 4,7 km;Civry-la-Forêt à 4,6 km;Boissets à 5,1 km;Orvilliers à 3,4 km;Gressey à 2,5 km;Prunay-le-Temple à 4,7 km;Bazainville à 3,1 km;Maulette à 4,8 km;Tacoignières à 2,4 km;Houdan à 4,1 km;5,8%;89,2%;4,9%;Not found!;11%;1,6%;3,6%;5,3%;16,5%;73%;4026;Richebourg;78550;7,4%;1 568;149;Not found!;3,4%
109;https://www.villesavivre.fr/freneuse-78255;22,6%;16,8%;17,5%;19,2%;16%;7,4%;0,6%;26,6%;5,1%;31,3%;16,8%;10,2%;6%;4%;93,51%;10,52%;22580;17,8%;1856;-2,01%;2785;+10,34%;501;595;511;384;56;1;1;1;1;Mantes-la-Jolie (7,5 km);1;2;2;Bonnières-sur-Seine (2,6 km);Mantes-la-Jolie (8,4 km);Buchelay (9,3 km);3;Gommecourt (2 km);2;Bonnières-sur-Seine (2,5 km);Rolleboise (3 km);5;6;Mantes-la-Jolie (7,7 km);1;49,2;Bonnières-sur-Seine (2,4 km);Guernes à 4,4 km;Bonnières-sur-Seine à 4,3 km;Méricourt à 1,7 km;Mousseaux-sur-Seine à 2,9 km;Bennecourt à 2,8 km;Moisson à 4,5 km;Rolleboise à 3,4 km;Limetz-Villez à 4,6 km;Sainte-Geneviève-lès-Gasny à 4,6 km;Gommecourt à 2,7 km;6%;88,6%;5,4%;Not found!;32,2%;0,5%;5,3%;19,2%;34,5%;40,5%;4026;Freneuse;78840;-4,42%;4 285;415;Not found!;26,2%
110;https://www.villesavivre.fr/pontoise-95500;20,8%;22,1%;21,6%;17,7%;12,4%;4,7%;0,6%;21,6%;6%;18,8%;17,6%;10,8%;11%;14,2%;96,87%;8,43%;21580;21,5%;3042;-10,66%;3763;-5,71%;478;1205;1020;942;87;17;23;23;9;1;7;11;11;6;4;Osny (1,6 km);4;28;1;2;1;138;21;1;3;27,2;1;Ennery à 3,1 km;Livilliers à 5,4 km;Osny à 2,9 km;Génicourt à 5,4 km;Auvers-sur-Oise à 5,5 km;Neuville-sur-Oise à 4,5 km;Éragny à 3,5 km;Saint-Ouen-l'Aumône à 2,6 km;Vauréal à 5,7 km;Cergy à 3,4 km;7,5%;91%;1,5%;38,8%;Not found!;13,3%;15,2%;27,7%;23,9%;19,9%;6459;Not found!;Not found!;2,08%;31 327;4381;21,8%;Not found!
111;https://www.villesavivre.fr/boissets-78076;18,5%;17,4%;19,6%;19,6%;15,5%;8,7%;0,8%;15,5%;6,6%;30,5%;22,5%;9,4%;8,5%;7%;96,93%;10,43%;27450;41,2%;Not found!;Not found!;Not found!;Not found!;501;595;511;384;56;Houdan (7,3 km);Civry-la-Forêt (2,5 km);Orvilliers (4,1 km);Dammartin-en-Serve (5,5 km);Mantes-la-Jolie (16,8 km);Richebourg (5 km);Civry-la-Forêt (2,2 km);1;Houdan (7,8 km);Magnanville (13,8 km);Maulette (8,1 km);Septeuil (7,7 km);Orvilliers (4 km);Longnes (7,1 km);Houdan (7,5 km);Houdan (7,2 km);1;Berchères-sur-Vesgre (3,9 km);Anet (10,9 km);1;58,6;Tacoignières (6,8 km);Berchères-sur-Vesgre à 3 km;Montchauvet à 4,6 km;Gressey à 3,2 km;Flins-Neuve-Église à 3,8 km;Civry-la-Forêt à 2,2 km;Saint-Ouen-Marchefroy à 4,3 km;Tilly à 2,3 km;Saint-Lubin-de-la-Haye à 4,9 km;Richebourg à 5,1 km;Orvilliers à 4 km;7,6%;80,6%;11,8%;Not found!;15,1%;0%;3,4%;16,3%;24,1%;56,1%;4026;Boissets;78910;9,3%;282;72;Not found!;8,3%
112;https://www.villesavivre.fr/cormeilles-en-vexin-95177;26,4%;15,3%;23,2%;17,8%;12,4%;4,4%;0,5%;19,3%;4,9%;27,1%;17,1%;16,3%;8,3%;6,9%;99,37%;6,18%;26040;17,4%;Not found!;Not found!;2567;+2,31%;569;1162;612;339;63;1;Boissy-l'Aillerie (3,6 km);Boissy-l'Aillerie (3,6 km);Boissy-l'Aillerie (3,6 km);Osny (6 km);Ableiges (3,4 km);1;1;Boissy-l'Aillerie (4,2 km);Osny (5,9 km);Osny (5,9 km);Marines (4,9 km);3;Marines (4,9 km);Marines (4,5 km);Marines (4,4 km);4;1;Cergy (7,3 km);1;35,3;Montgeroult (3,8 km);Marines à 4,6 km;Boissy-l'Aillerie à 3,5 km;Bréançon à 4 km;Génicourt à 3,7 km;Frémécourt à 2,2 km;Grisy-les-Plâtres à 3 km;Us à 4,6 km;Ableiges à 4,5 km;Épiais-Rhus à 4,1 km;Montgeroult à 2,7 km;6,3%;92,6%;1,1%;Not found!;14,7%;1%;7,4%;15,4%;20,1%;56,1%;4303;Cormeilles-en-Vexin;95830;-6,82%;1 285;134;Not found!;9,6%
113;https://www.villesavivre.fr/villiers-adam-95678;18,2%;15,5%;18%;23,4%;15,8%;8,1%;0,9%;15,2%;5,3%;21,8%;15,4%;17,1%;11,9%;13,3%;99,51%;5,78%;30770;19,4%;Not found!;Not found!;4339;+5,93%;492;1041;896;668;97;Mériel (2,8 km);Frépillon (2,5 km);Mériel (1,6 km);Mériel (2,7 km);Eaubonne (8,1 km);Mériel (2,8 km);1;1;Mériel (1,7 km);L'Isle-Adam (5,3 km);L'Isle-Adam (6 km);Mériel (3,1 km);Mériel (2,8 km);Frépillon (3,7 km);Mériel (2,7 km);Taverny (4,4 km);Mériel (1,4 km);Mériel (2,7 km);L'Isle-Adam (4,9 km);1;19,5;Mériel (2,6 km);Mériel à 2 km;Béthemont-la-Forêt à 1,9 km;Nerville-la-Forêt à 3,6 km;Chauvry à 2,9 km;Baillet-en-France à 4,8 km;Bessancourt à 4,6 km;Montsoult à 4,8 km;L'Isle-Adam à 4,2 km;Butry-sur-Oise à 3,8 km;Frépillon à 3,3 km;4,7%;93,7%;1,6%;Not found!;8,7%;1,7%;6,1%;10,7%;16,2%;65,2%;5620;Villiers-Adam;95840;-1,27%;852;87;Not found!;5%
114;https://www.villesavivre.fr/grosrouvre-78289;21,2%;12,2%;13,4%;26,3%;18,9%;6,9%;1,1%;12,2%;3,9%;15,4%;17,1%;11,5%;14,6%;25,3%;96,22%;5,52%;35680;17,4%;Not found!;Not found!;6220;+37,52%;467;474;643;315;67;La Queue-les-Yvelines (2,9 km);La Queue-les-Yvelines (3 km);La Queue-les-Yvelines (3 km);La Queue-les-Yvelines (3 km);Rambouillet (15,1 km);Méré (4,6 km);1;1;Montfort-l'Amaury (3,1 km);La Queue-les-Yvelines (3,2 km);Maulette (9,6 km);La Queue-les-Yvelines (3 km);La Queue-les-Yvelines (3 km);La Queue-les-Yvelines (3 km);La Queue-les-Yvelines (3 km);Montfort-l'Amaury (3,9 km);Montfort-l'Amaury (2,5 km);La Queue-les-Yvelines (2,9 km);Beynes (12,1 km);La Queue-les-Yvelines (3 km);44,7;Garancières (3,4 km);Garancières à 4,8 km;Saint-Léger-en-Yvelines à 5,6 km;La Queue-les-Yvelines à 2,6 km;Montfort-l'Amaury à 3,9 km;Millemont à 3,8 km;Gambaiseuil à 3,5 km;Méré à 5 km;Gambais à 5,9 km;Boissy-sans-Avoir à 5,5 km;Galluis à 3,3 km;9,1%;74,9%;16%;Not found!;10,4%;0%;2%;9%;16%;73%;3925;Grosrouvre;78490;-2,4%;895;72;Not found!;4,2%
115;https://www.villesavivre.fr/moisson-78410;19,1%;14,9%;19,7%;24,4%;15,4%;5,9%;0,7%;16,4%;6,4%;27,5%;18,5%;12%;10,4%;8,8%;93,33%;7,13%;26990;11,6%;Not found!;Not found!;2571;+7,13%;501;595;511;384;56;Vétheuil (3,1 km);Gasny (4,9 km);Vétheuil (2,8 km);Vétheuil (2,8 km);Mantes-la-Jolie (7,9 km);Saint-Martin-la-Garenne (3,3 km);Mousseaux-sur-Seine (2,7 km);1;La Roche-Guyon (2,8 km);Mantes-la-Jolie (8,1 km);Buchelay (9,8 km);Gasny (5 km);La Roche-Guyon (2,8 km);Gasny (5,1 km);Vétheuil (2,8 km);La Roche-Guyon (2,7 km);4;Vétheuil (2,8 km);Mantes-la-Jolie (7,7 km);1;50,2;Bonnières-sur-Seine (6,9 km);Amenucourt à 4,7 km;Chérence à 2,9 km;La Roche-Guyon à 3,1 km;Vétheuil à 3,3 km;Haute-Isle à 1,7 km;Mousseaux-sur-Seine à 2,2 km;Freneuse à 4,5 km;Méricourt à 4,6 km;Saint-Martin-la-Garenne à 3,7 km;Vienne-en-Arthies à 4,3 km;7,6%;76,5%;15,9%;Not found!;11%;2,3%;6%;9,6%;20,4%;61,7%;4026;Moisson;78840;-2,9%;936;96;Not found!;2,6%
116;https://www.villesavivre.fr/marines-95370;21,1%;16,7%;19,3%;22,4%;12,3%;6,4%;1,9%;18,9%;5,3%;24,8%;20,4%;13,6%;9,5%;7,5%;98,04%;8,45%;26030;14,2%;Not found!;Not found!;2800;-16,44%;569;1162;612;339;63;5;3;4;1;Osny (10,6 km);1;1;1;1;Osny (10,4 km);Osny (10,5 km);1;2;1;1;1;17;2;Cergy (11,3 km);1;35,5;Santeuil (3,6 km);Chavençon à 4,4 km;Santeuil à 2,8 km;Cormeilles-en-Vexin à 4,6 km;Chars à 4 km;Haravilliers à 4,9 km;Le Heaulme à 2,5 km;Frémécourt à 2,8 km;Neuilly-en-Vexin à 3 km;Bréançon à 2,9 km;Brignancourt à 3 km;7,9%;89,8%;2,4%;Not found!;33,4%;3,5%;11,3%;17,1%;21,1%;47%;4303;Marines;95640;-2,34%;3 422;414;Not found!;22,9%
